Título,Autor,Género,Tema
Crimen y castigo,Fyodor Dostoevsky,Novela,"Moralidad, castigo y culpa en la Rusia del siglo XIX"
1984,George Orwell,Novela,Distopía y totalitarismo
2666,Roberto Bolaño,Novela,Novela coral que explora misterios y crímenes en México y Europa
Aire de Dylan,Enrique Vila-Matas,Novela, música y la búsqueda del sentido de la vida
Cumbres Borrascosas,Emily Bronte,Novela,Pasiones y venganza en la Inglaterra del siglo XIX
Don Quijote,Miguel de Cervantes,Novela,Parodia de las novelas de caballería
Don Segundo Sombra,Ricardo Guiraldes,Novela,Vida en las pampas argentinas y la relación con los gauchos
Drácul,Bram Stoker,Novela,El mito del vampiro.
El amor en los tiempos del cólera,Gabriel García Máquez,Novela,Amor y obsesión a lo largo de los años
El astillero,Juan Carlos Onetti,Novela,Desesperación y decadencia en un puerto
El Conde de Montecristo,Alexandre Dumas,Novela,Venganza y redención en la Francia del siglo XIV
El Coronel no tiene quien le escriba,Gabriel García Márquez,Novela,Reflexiones sobre la espera y la pobreza en América Latina
El corredor del laberinto,James Dashner,Novela,Misterio y supervivencia en un laberinto.
El entenado,Juan José Sae,Novela,Encuentro entre conquistadores y nativos
El Gran Gatsby,F. Scott Fitzgerald,Novela,La decadencia de la alta sociedad estadounidense en la década de 1920
El llano en llamas,Juan Rulfo,Cuento,Relatos breves sobre la vida rural en México
El nombre de la rosa,Umberto Eco,Novela,Misterio en un monasterio medieval.
El retrato de Dorian Gray,Oscar Wilde,Novela,Ficción gótica y moralidad
El señor de las mosca,William Golding,Novela,Sociedad y naturaleza humana.
En busca del tiempo perdido,Marcel Proust,Novela,Reflexiones sobre la memoria y el tiempo
Ensayos,Michel de Montaigne,Ensayo,Reflexiones filosóficas y personales
Frankenstein,Mary Shelley,Novela,Creación y responsabilidad
Guerra y paz,León Tolstoi,Novela,Historia de Rusia y la guerra con Napoleón
La carretera,Cormac McCarthy,Novela,Post-apocalipsis y supervivencia.
La Casa de Bernarda Alba,Federico García Lorca,Teatro,Represión y deseo en una familia española
La casa de los espíritu,Isabel Allende,Realismo mágico,Historia de una familia y la política en América Latina
La casa de papel,Carlos María Domínguez,Novela,Robo a la casa de la moneda
La Ciudad de las Bestias,Isabel Allende,Realismo mágico,Aventuras en la Amazonía y mitos indígenas
La Fiesta del Chivo,Mario Vargas Llosa,Novela,Dictadura y poder en la Republica Dominicana.
La Hojarasca,Gabriel García Márquez,Novela,La muerte y el pasado en un pueblo colombiano.
La inmortalidad,Milan Kundera,Novela,Identidad y amor en la Europa del siglo XX.
La insoportable levedad del ser,Milan Kundera,Novela,Reflexiones sobre el amor y la existencia en la Checoslovaquia comunista
La isla del tesoro,Robert Louis Stevenson,Aventura,Aventuras en busca de un tesoro.
La metamorfosis,Franz Kafka,Novela corta,Transformación y alienación
La montaña mágica,Thomas Mann,Novela,Reflexiones sobre la vida y la muerte en un sanatorio suizo
La naranja mecánica,Anthony Burgess,Novela,Libertad y violencia en una sociedad futurista.
La Odisea,Homero,Epopeya,Aventura y regreso a casa en la antigua Grecia
La sombra del viento,Carlos Ruiz Zafón,Novela,Misterio -  historia de Barcelona
La tía Julia y el escribidor,Mario Vargas Llosa,Novela,Relación amorosa y escritura en Lima
La Vorágine,José Eustasio River,Novela,Exploración de la selva amazónica y reflexiones sobre la colonización
Los cachorros,Mario Vargas Llosa,Cuento,Reflexiones sobre la sociedad peruana y la violencia.
Los de Abajo,Mariano Azuela,Novela,La Revolución Mexicana y sus impactos en la sociedad
Los detectives salvajes,Roberto Bolaño,Novela, búsqueda de un poeta desaparecido
Los hermanos Karamazov,Fyodor Dostoevsky,Novela, religión y dilemas morales en Rusia
Los hombres me explican cosas,Rebecca Solnit,Ensayo,Feminismo y el papel de la mujer en la sociedad
Los juegos del hambre,Suzanne Collins,Novela,Lucha por la supervivencia en una sociedad totalitaria.
Los miserables,Victor Hugo,Novela,Lucha por la justicia y la redención en la Francia del siglo XIV
Los pilares de la Tierra,Ken Follett,Novela,Construcción de una catedral en la Edad Media
Los siete locos,Roberto Arlt,Novela,Reflexiones sobre la locura y la sociedad en Argentina
Martín Fierro,José Hernández,Poesía,Poesía gauchesca y lucha por la justicia en Argentina
Matar a un ruiseño,Harper Lee,Novela,Racismo y justicia en el sur de Estados Unidos
Mujer en punto cero,Nawal El Saadawi,Novela,La lucha de una mujer egipcia contra la opresión
Operación Masacre,Rodolfo Walsh,Periodismo,Crónica de un fusilamiento ilegal en Argentina
Pantaleón y las visitadoras,Mario Vargas Llosa,Novela,Sátira militar y prostitución en la Amazonía
Rayuela,Julio Cortázar,Novela experimental,Literatura y juego.
Título,Autor,Géner,Tema
Ulises,James Joyce,Novela,Exploración de la vida y la mente de Leopold Bloom en un día en Dublín
Veinte mil leguas de viaje submarino,Julio Verne,Aventura,Aventuras submarinas y descubrimientos científicos
Veinte poemas de amor y una canción desesperada,Pablo Neruda,Poesía,Poemas de amor y pasión
